"path","url","type","sitemap_url_count","sitemap_variants","sitemap_lastmod","http_status","content_type","accessible_html","title","h1","meta_description","displayed_update_date","notes","content_words","content_chars","structural_elements","depends_on_uploaded_document","document_link_count","external_link_count","external_link_result","keep_without_changes","merge_candidate","outdated_or_duplicate","content_quality","editorial_action","confidence"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no8","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no8","документ","2","canonical;pdf-query","2024-09-09T09:31:33+03:00;2024-09-09T09:37:30+03:00","200","text/html; charset=utf-8","yes","Практическая работа №8","Практическая работа №8","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","3381","29293","dl=1; ol=1","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/abiturientu/spetsialnosti/kompyuternye-sistemy-i-kompleksy","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/spetsialnosti/kompyuternye-sistemy-i-kompleksy","статья","3","canonical;pdf-query;index.php","2024-09-09T09:28:24+03:00;2024-09-09T09:34:14+03:00;2024-09-09T09:31:00+03:00","200","text/html; charset=utf-8","yes","09.02.01 Компьютерные системы и комплексы","09.02.01 Компьютерные системы и комплексы","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","216","1989","ul=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no5","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no5","документ","2","canonical;pdf-query","2024-09-09T09:34:33+03:00;2024-09-09T09:37:27+03:00","200","text/html; charset=utf-8","yes","Практическая работа №5","Практическая работа №5","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","1053","8493","dl=1; ul=1; ol=1","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/abiturientu/professii/15-01-31-master-kontrolno-izmeritelnykh-priborov-i-avtomatiki","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/15-01-31-master-kontrolno-izmeritelnykh-priborov-i-avtomatiki","статья","3","pdf-query;index.php;canonical","2024-09-09T09:31:55+03:00;2024-09-09T09:33:06+03:00;2024-09-09T09:28:08+03:00","200","text/html; charset=utf-8","yes","15.01.31 Мастер контрольно-измерительных приборов и автоматики","15.01.31 Мастер контрольно-измерительных приборов и автоматики","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","83","682","ul=2","no","0","0","none","review","no confirmed candidate","no confirmed canonical-page duplicate","too short for an article","expand or merge only after editorial review; do not silently drop","high"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no6","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no6","документ","2","pdf-query;canonical","2024-09-09T09:37:28+03:00;2024-09-09T09:30:55+03:00","200","text/html; charset=utf-8","yes","Практическая работа №6","Практическая работа №6","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","1415","11573","dl=1; ul=4; img=1; ol=1","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/abiturientu/dokumentatsiya","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/dokumentatsiya","документ","2","pdf-query;canonical","2024-09-09T09:32:00+03:00;2024-09-09T09:28:58+03:00","200","text/html; charset=utf-8","yes","Документация","""","""","""","H1 отсутствует; meta description отсутствует; дата обновления в HTML не обнаружена","281","2059","ol=1","yes","13","13","200","review","no confirmed candidate","yes — dated files named 2021–2023","incomplete/outdated dependency set","archive or refresh admission documents; add H1; move files under controlled storage","high"
"/abiturientu/professii/08-01-07-master-obshchestroitelnykh-rabot","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/08-01-07-master-obshchestroitelnykh-rabot","статья","3","canonical;pdf-query;index.php","2024-09-09T09:28:21+03:00;2024-09-09T09:34:23+03:00;2024-09-09T09:33:46+03:00","200","text/html; charset=utf-8","yes","08.01.07 Мастер общестроительных работ","08.01.07 Мастер общестроительных работ","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","158","1329","ul=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no7","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no7","документ","2","canonical;pdf-query","2024-09-09T09:33:41+03:00;2024-09-09T09:36:02+03:00","200","text/html; charset=utf-8","yes","Практическая работа №7","Практическая работа №7","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","1605","12051","dl=1; ol=6; table=3","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/obuchenie","https://xn--80aabgi1b2am.xn--p1ai/obuchenie","раздел","2","index.php;canonical","2024-09-09T09:28:49+03:00;2024-09-09T09:28:01+03:00","200","text/html; charset=utf-8","yes","Обучение","Обучение","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","513","3981","ul=25; img=2","yes","4","29","not confirmed for 1 link(s)","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","medium"
"/abiturientu/professii/prodavets-kontroler-kassir","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/prodavets-kontroler-kassir","статья","3","canonical;pdf-query;index.php","2024-09-09T09:27:55+03:00;2024-09-09T09:32:36+03:00;2024-09-09T09:34:02+03:00","200","text/html; charset=utf-8","yes","38.01.02 Продавец, контролер-кассир","38.01.02 Продавец, контролер-кассир","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","172","1650","ul=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/vospitanie/dlya-roditelej/kak-ne-dopustit-suitsid-u-podrostka","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej/kak-ne-dopustit-suitsid-u-podrostka","статья","2","canonical;pdf-query","2024-09-09T09:35:28+03:00;2024-09-09T09:38:26+03:00","200","text/html; charset=utf-8","yes","КАК НЕ ДОПУСТИТЬ СУИЦИД У ПОДРОСТКА","Для родителей","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","895","6423","ul=5","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/obuchenie/elektromonter","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/elektromonter","подраздел","1","canonical","2024-09-09T09:27:40+03:00","200","text/html; charset=utf-8","yes","Электромонтер","""","""","""","H1 отсутствует; meta description отсутствует; дата обновления в HTML не обнаружена","348","3129","ul=23; img=1","yes","2","13","not confirmed for 1 link(s)","review","no confirmed candidate","no confirmed canonical-page duplicate","incomplete: H1 missing","add a descriptive H1 before migration","medium"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no1","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no1","документ","2","canonical;pdf-query","2024-09-09T09:34:26+03:00;2024-09-09T09:36:50+03:00","200","text/html; charset=utf-8","yes","Практическая работа №1","Практическая работа №1","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","1252","7846","dl=1; ul=2; table=4; ol=4; img=1","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/vospitanie/razgovory-o-vazhnom","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/razgovory-o-vazhnom","статья","1","canonical","2024-09-09T09:27:43+03:00","200","text/html; charset=utf-8","yes","Разговоры о важном","Разговоры о важном","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","96","707","ul=3","no","0","0","none","review","no confirmed candidate","no confirmed canonical-page duplicate","too short for an article","expand or merge only after editorial review; do not silently drop","high"
"/vospitanie/dlya-roditelej/kak-pomoch-podrostku-spravlyatsya-so-stressom","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej/kak-pomoch-podrostku-spravlyatsya-so-stressom","статья","2","canonical;pdf-query","2024-09-09T09:31:27+03:00;2024-09-09T09:38:55+03:00","200","text/html; charset=utf-8","yes","Как помочь подростку справляться со стрессом.","Для родителей","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","657","5070","ol=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/vospitanie/dlya-roditelej/16-vazhnykh-pravil-pro-eto","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej/16-vazhnykh-pravil-pro-eto","статья","2","pdf-query;canonical","2024-09-09T09:37:40+03:00;2024-09-09T09:33:55+03:00","200","text/html; charset=utf-8","yes","16 ВАЖНЫХ Правил, про ""Это!""","Для родителей","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","1048","6938","ol=13","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/private","https://xn--80aabgi1b2am.xn--p1ai/private","служебная","2","canonical;pdf-query","2024-09-09T09:29:01+03:00;2024-09-09T09:32:02+03:00","200","text/html; charset=utf-8","yes","Политика в отношении обработки персональных данных","""","""","""","H1 отсутствует; meta description отсутствует; дата обновления в HTML не обнаружена","2107","17633","ul=7; table=1","no","0","0","none","review","no confirmed candidate","no confirmed canonical-page duplicate","service/legal page; editorial length not applicable","keep only if the privacy/legal function is still required; expose from footer/cookie notice","medium"
"/abiturientu/professii/13-01-10-elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-po-otraslyam","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/13-01-10-elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-po-otraslyam","статья","3","pdf-query;canonical;index.php","2024-09-09T09:34:22+03:00;2024-09-09T09:27:46+03:00;2024-09-09T09:31:58+03:00","200","text/html; charset=utf-8","yes","13.01.10 Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям)","13.01.10 Электромонтер по ремонту и обслуживанию электрооборудования (по отраслям)","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","71","596","ul=2","no","0","0","none","review","no confirmed candidate","no confirmed canonical-page duplicate","too short for an article","expand or merge only after editorial review; do not silently drop","high"
"/vospitanie/prakticheskie-sovety-studentam","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/prakticheskie-sovety-studentam","статья","2","pdf-query;canonical","2024-09-09T09:37:26+03:00;2024-09-09T09:35:21+03:00","200","text/html; charset=utf-8","yes","Практические советы студентам:","Воспитание","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","482","3551","ol=4","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no3","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no3","документ","2","pdf-query;canonical","2024-09-09T09:38:38+03:00;2024-09-09T09:33:59+03:00","200","text/html; charset=utf-8","yes","Практическая работа №3","Практическая работа №3","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","595","5424","dl=1; ul=6","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/obuchenie/kip/prakticheskie-kip","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip","подраздел","1","canonical","2024-09-09T09:29:13+03:00","200","text/html; charset=utf-8","yes","ПР КИП МДК01.05","""","""","""","H1 отсутствует; meta description отсутствует; дата обновления в HTML не обнаружена","360","2956","dl=9","no","0","0","none","review","no confirmed candidate","no confirmed canonical-page duplicate","incomplete: H1 missing","add a descriptive H1 before migration","high"
"/vospitanie/dlya-roditelej/nuzhno-li-obsuzhdat-s-rebenkom-temu-alkogolya-i-narkotikov","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej/nuzhno-li-obsuzhdat-s-rebenkom-temu-alkogolya-i-narkotikov","статья","2","pdf-query;canonical","2024-09-09T09:36:18+03:00;2024-09-09T09:29:22+03:00","200","text/html; charset=utf-8","yes","НУЖНО ЛИ ОБСУЖДАТЬ С РЕБЕНКОМ ТЕМУ АЛКОГОЛЯ И НАРКОТИКОВ","Для родителей","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","854","6033","ol=12","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/obo-mne/dostizheniya","https://xn--80aabgi1b2am.xn--p1ai/obo-mne/dostizheniya","подраздел","2","canonical;index.php","2024-09-09T09:28:55+03:00;2024-09-09T09:28:04+03:00","200","text/html; charset=utf-8","yes","Достижения","Достижения","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","74","605","ul=23; img=33","yes","2","10","not confirmed for 1 link(s)","yes","no confirmed candidate","no confirmed canonical-page duplicate","media-rich page; text is short but 33 images carry content","preserve page and image sequence; add concise explanatory intro if needed","medium"
"/vospitanie/dlya-roditelej/yuridicheskaya-otvetstvennost","https://xn--80aabgi1b2am.xn--p1ai/vospitanie/dlya-roditelej/yuridicheskaya-otvetstvennost","статья","2","canonical;pdf-query","2024-09-09T09:34:48+03:00;2024-09-09T09:35:47+03:00","200","text/html; charset=utf-8","yes","Юридическая ответственность","Для родителей","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","1173","9288","ol=9","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/abiturientu/professii/43-01-09-povar-konditer","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/43-01-09-povar-konditer","статья","3","pdf-query;canonical;index.php","2024-09-09T09:32:44+03:00;2024-09-09T09:28:27+03:00;2024-09-09T09:31:21+03:00","200","text/html; charset=utf-8","yes","43.01.09 Повар, кондитер","43.01.09 Повар, кондитер","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","204","1463","ul=3","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/abiturientu/spetsialnosti/ekonomika-i-bukhgalterskij-uchet-po-otraslyam","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/spetsialnosti/ekonomika-i-bukhgalterskij-uchet-po-otraslyam","статья","3","canonical;pdf-query;index.php","2024-09-09T09:28:52+03:00;2024-09-09T09:35:12+03:00;2024-09-09T09:31:18+03:00","200","text/html; charset=utf-8","yes","38.02.01 Экономика и бухгалтерский учет (по отраслям)","38.02.01 Экономика и бухгалтерский учет (по отраслям)","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","256","2160","ul=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/abiturientu/professii/15-01-05-svarshchik-ruchnoj-i-chastichno-mekhanizirovannoj-svarki-naplavki","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/15-01-05-svarshchik-ruchnoj-i-chastichno-mekhanizirovannoj-svarki-naplavki","статья","3","index.php;canonical;pdf-query","2024-09-09T09:29:26+03:00;2024-09-09T09:27:59+03:00;2024-09-09T09:34:44+03:00","200","text/html; charset=utf-8","yes","15.01.05 Сварщик ручной и частично механизированной сварки (наплавки)","15.01.05 Сварщик ручной и частично механизированной сварки (наплавки)","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","286","2337","ul=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/obuchenie/pm02/lektsii/razdel-1","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/pm02/lektsii/razdel-1","подраздел","1","canonical","2024-09-09T09:28:42+03:00","200","text/html; charset=utf-8","yes","Раздел 1","Раздел 1","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","197","1576","img=1","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/abiturientu","https://xn--80aabgi1b2am.xn--p1ai/abiturientu","раздел","1","canonical","2024-09-09T09:27:37+03:00","200","text/html; charset=utf-8","yes","Абитуриенту","Компьютерные системы и комплексы","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","552","4915","ul=23; iframe=4; img=2","yes","2","10","not confirmed for 1 link(s)","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","medium"
"/obuchenie/pm02/lektsii","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/pm02/lektsii","подраздел","1","canonical","2024-09-09T09:28:33+03:00","200","text/html; charset=utf-8","yes","Лекции","Лекции","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","2129","18335","img=1; dl=5; table=1; ul=12; ol=3","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no4","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no4","документ","2","pdf-query;canonical","2024-09-09T09:38:03+03:00;2024-09-09T09:32:27+03:00","200","text/html; charset=utf-8","yes","Практическая работа №4","Практическая работа №4","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","674","4624","dl=1; ul=3; img=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii/podgotovka-k-proizvodstvu-montazhnykh-rabot","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii/podgotovka-k-proizvodstvu-montazhnykh-rabot","статья","2","canonical;pdf-query","2024-09-09T09:28:11+03:00;2024-09-09T09:32:35+03:00","200","text/html; charset=utf-8","yes","Подготовка к производству монтажных работ","Подготовка к производству монтажных работ","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","799","6593","dl=1; ul=1; img=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
"/vospitanie","https://xn--80aabgi1b2am.xn--p1ai/vospitanie","раздел","2","index.php;canonical","2024-09-09T09:28:17+03:00;2024-09-09T09:28:46+03:00","200","text/html; charset=utf-8","yes","Воспитание","Воспитание","""","""","meta description отсутствует; дата обновления в HTML не обнаружена","92","689","","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high"
