"path","url","type","title","h1","content_words","content_chars","structural_elements","depends_on_uploaded_document","document_link_count","external_link_count","external_link_result","keep_without_changes","merge_candidate","outdated_or_duplicate","content_quality","editorial_action","confidence","source"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no8","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no8","документ","Практическая работа №8","Практическая работа №8","3381","29293","dl=1; ol=1","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/abiturientu/spetsialnosti/kompyuternye-sistemy-i-kompleksy","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/spetsialnosti/kompyuternye-sistemy-i-kompleksy","статья","09.02.01 Компьютерные системы и комплексы","09.02.01 Компьютерные системы и комплексы","216","1989","ul=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no5","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no5","документ","Практическая работа №5","Практическая работа №5","1053","8493","dl=1; ul=1; ol=1","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/abiturientu/professii/15-01-31-master-kontrolno-izmeritelnykh-priborov-i-avtomatiki","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/15-01-31-master-kontrolno-izmeritelnykh-priborov-i-avtomatiki","статья","15.01.31 Мастер контрольно-измерительных приборов и автоматики","15.01.31 Мастер контрольно-измерительных приборов и автоматики","83","682","ul=2","no","0","0","none","review","no confirmed candidate","no confirmed canonical-page duplicate","too short for an article","expand or merge only after editorial review; do not silently drop","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no6","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no6","документ","Практическая работа №6","Практическая работа №6","1415","11573","dl=1; ul=4; img=1; ol=1","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/abiturientu/dokumentatsiya","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/dokumentatsiya","документ","Документация","""","281","2059","ol=1","yes","13","13","200","review","no confirmed candidate","yes — dated files named 2021–2023","incomplete/outdated dependency set","archive or refresh admission documents; add H1; move files under controlled storage","high","live production URL; sitemap inventory; main content extraction"
"/abiturientu/professii/08-01-07-master-obshchestroitelnykh-rabot","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/08-01-07-master-obshchestroitelnykh-rabot","статья","08.01.07 Мастер общестроительных работ","08.01.07 Мастер общестроительных работ","158","1329","ul=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no7","https://xn--80aabgi1b2am.xn--p1ai/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no7","документ","Практическая работа №7","Практическая работа №7","1605","12051","dl=1; ol=6; table=3","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
"/obuchenie","https://xn--80aabgi1b2am.xn--p1ai/obuchenie","раздел","Обучение","Обучение","513","3981","ul=25; img=2","yes","4","29","not confirmed for 1 link(s)","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","medium","live production URL; sitemap inventory; main content extraction"
"/abiturientu/professii/prodavets-kontroler-kassir","https://xn--80aabgi1b2am.xn--p1ai/abiturientu/professii/prodavets-kontroler-kassir","статья","38.01.02 Продавец, контролер-кассир","38.01.02 Продавец, контролер-кассир","172","1650","ul=2","no","0","0","none","yes","no confirmed candidate","no confirmed canonical-page duplicate","adequate","preserve content; migrate into the new information architecture","high","live production URL; sitemap inventory; main content extraction"
