"url","depth","classification","incoming_pages_count","representative_incoming_pages","notes"
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no1","4","text-only","2","/obuchenie/kip/prakticheskie-kip; /obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no2","Не входит в главное меню и footer."
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no2","4","text-only","3","/obuchenie/kip/prakticheskie-kip; практическая-работа-no1; практическая-работа-no3","Не входит в главное меню и footer."
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no3","4","text-only","3","/obuchenie/kip/prakticheskie-kip; практическая-работа-no2; практическая-работа-no4","Не входит в главное меню и footer."
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no4","4","text-only","3","/obuchenie/kip/prakticheskie-kip; практическая-работа-no3; практическая-работа-no5","Не входит в главное меню и footer."
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no5","4","text-only","3","/obuchenie/kip/prakticheskie-kip; практическая-работа-no4; практическая-работа-no6","Не входит в главное меню и footer."
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no6","4","text-only","3","/obuchenie/kip/prakticheskie-kip; практическая-работа-no5; практическая-работа-no7","Не входит в главное меню и footer."
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no7","4","text-only","3","/obuchenie/kip/prakticheskie-kip; практическая-работа-no6; практическая-работа-no8","Не входит в главное меню и footer."
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no8","4","text-only","3","/obuchenie/kip/prakticheskie-kip; практическая-работа-no7; практическая-работа-no9","Не входит в главное меню и footer."
"/obuchenie/kip/prakticheskie-kip/prakticheskaya-rabota-no9","4","text-only","2","/obuchenie/kip/prakticheskie-kip; практическая-работа-no8","Не входит в главное меню и footer."
"/private","1","cookie-banner-only","42","Главная и проверенные HTML-страницы","Политика обработки персональных данных доступна из cookie-уведомления; в главное меню и footer не входит."
"/vospitanie/dlya-roditelej/16-vazhnykh-pravil-pro-eto","3","text-only","2","/vospitanie/dlya-roditelej; соседняя статья","Не входит в главное меню и footer."
"/vospitanie/dlya-roditelej/kak-ne-dopustit-suitsid-u-podrostka","3","text-only","3","/vospitanie/dlya-roditelej; соседние статьи","Не входит в главное меню и footer."
"/vospitanie/dlya-roditelej/kak-pomoch-podrostku-spravlyatsya-so-stressom","3","text-only","3","/vospitanie/dlya-roditelej; соседние статьи","Не входит в главное меню и footer."
"/vospitanie/dlya-roditelej/nuzhno-li-obsuzhdat-s-rebenkom-temu-alkogolya-i-narkotikov","3","text-only","3","/vospitanie/dlya-roditelej; соседние статьи","Не входит в главное меню и footer."
"/vospitanie/dlya-roditelej/prakticheskie-sovety-roditelyam-vo-vremya-ekzamena","3","text-only","3","/vospitanie/dlya-roditelej; соседние статьи","Не входит в главное меню и footer."
"/vospitanie/dlya-roditelej/yuridicheskaya-otvetstvennost","3","text-only","2","/vospitanie/dlya-roditelej; соседняя статья","Не входит в главное меню и footer."
"/vospitanie/prakticheskie-sovety-studentam","2","text-only","1","/vospitanie","Не входит в главное меню и footer."
