"level","parent","title","url","source","checked_on","notes"
"1","","Обо мне","/","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Обо мне","Методическая работа","/obo-mne/metodicheskaya-rabota","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Обо мне","Достижения","/obo-mne/dostizheniya","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Обо мне","Хобби","/obo-mne/khobbi","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Обо мне","Контакты","/obo-mne/kontakty","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"1","","Воспитание","/vospitanie","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Воспитание","Для родителей","/vospitanie/dlya-roditelej","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Воспитание","Разговоры о важном","/vospitanie/razgovory-o-vazhnom","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"1","","Обучение","/obuchenie","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Обучение","КИП","/obuchenie/kip","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"3","КИП","ПР КИП МДК01.05","/obuchenie/kip/prakticheskie-kip","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Обучение","КСК","/obuchenie/ksk","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Обучение","пм02","","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML. Menu group/header without its own URL."
"3","пм02","Лекции","/obuchenie/pm02/lektsii","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"4","Лекции","Раздел 1","/obuchenie/pm02/lektsii/razdel-1","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"5","Раздел 1","Тема 1.1 Организация работ по монтажу систем автоматизации","/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"6","Тема 1.1 Организация работ по монтажу систем автоматизации","Подготовка к производству монтажных работ","/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii/podgotovka-k-proizvodstvu-montazhnykh-rabot","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"6","Тема 1.1 Организация работ по монтажу систем автоматизации","Приемка объекта под монтаж","/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii/priemka-obekta-pod-montazh","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"6","Тема 1.1 Организация работ по монтажу систем автоматизации","Наладка микропроцессорного модуля ввода аналоговых сигналов на примере измерительной системы температуры","/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii/naladka-mikroprotsessornogo-modulya-vvoda-analogovykh-signalov-na-primere-izmeritelnoj-sistemy-temperatury","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"6","Тема 1.1 Организация работ по монтажу систем автоматизации","Работа в действующих установках, находящихся под давлением и в зоне высоких температур","/obuchenie/pm02/lektsii/razdel-1/tema-1-1-organizatsiya-rabot-po-montazhu-sistem-avtomatizatsii/rabota-v-dejstvuyushchikh-ustanovkakh-nakhodyashchikhsya-pod-davleniem-i-v-zone-vysokikh-temperatur","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Обучение","Материаловедение","https://бардаков.рф/plugins/content/pdfviewer/assets/pdfjs/web/viewer.html?file=https://бардаков.рф/images/pdf/obychen/materialovedenie_kurs_lektsiy_.pdf","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Обучение","ПР КОМПЬЮТЕРНОЕ МОДЕЛИРОВАНИЕ","/../dok24/практосы комп модель1.doc","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Обучение","Электромонтер","/obuchenie/elektromonter","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"1","","Абитуриенту","/abiturientu","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Абитуриенту","Специальности","","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML. Menu group/header without its own URL."
"3","Специальности","Компьютерные системы и комплексы","/abiturientu/spetsialnosti/kompyuternye-sistemy-i-kompleksy","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"3","Специальности","Экономика и бухгалтерский учет (по отраслям)","/abiturientu/spetsialnosti/ekonomika-i-bukhgalterskij-uchet-po-otraslyam","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Абитуриенту","Профессии","","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML. Menu group/header without its own URL."
"3","Профессии","Продавец, контролер-кассир","/abiturientu/professii/prodavets-kontroler-kassir","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"3","Профессии","Мастер общестроительных работ","/abiturientu/professii/08-01-07-master-obshchestroitelnykh-rabot","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"3","Профессии","Повар, кондитер","/abiturientu/professii/43-01-09-povar-konditer","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"3","Профессии","Сварщик ручной и частично механизированной сварки (наплавки)","/abiturientu/professii/15-01-05-svarshchik-ruchnoj-i-chastichno-mekhanizirovannoj-svarki-naplavki","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"3","Профессии","Электромонтер по ремонту и обслуживанию электрооборудования","/abiturientu/professii/13-01-10-elektromonter-po-remontu-i-obsluzhivaniyu-elektrooborudovaniya-po-otraslyam","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"3","Профессии","Мастер контрольно-измерительных приборов и автоматики","/abiturientu/professii/15-01-31-master-kontrolno-izmeritelnykh-priborov-i-avtomatiki","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
"2","Абитуриенту","Документация","/abiturientu/dokumentatsiya","https://xn--80aabgi1b2am.xn--p1ai/","2026-09-14","Production main navigation; live HTML."
